actor_id,bacon_number,intermediary
500,3,573
501,2,4666
502,3,3637
503,2,1946
504,3,2346
505,,
506,3,3869
507,3,1572
508,,
509,1,2720
510,4,4380
511,3,4065
512,4,898
513,3,3959
514,5,64
515,4,1400
516,3,3840
517,4,4561
518,4,2028
519,4,955
520,6,1988
521,3,1940
522,4,3375
523,3,3854
524,,
525,4,748
526,2,463
527,3,3840
528,3,3676
529,2,1946
530,4,233
531,,
532,3,2702
533,3,4475
534,3,4523
535,5,4607
536,6,2653
537,3,2300
538,4,1336
539,3,4093
540,,
541,4,2094
542,4,2021
543,4,1322
544,3,2023
545,3,3313
546,2,463
547,4,16
548,4,651
549,3,4225
550,3,294
551,3,3552
552,4,4984
553,4,4113
554,3,3720
555,,
556,2,775
557,3,805
558,,
559,4,2880
560,4,2147
561,4,1866
562,3,2136
563,6,1453
564,2,1360
565,4,4380
566,2,4666
567,4,898
568,2,4691
569,4,2563
570,3,3316
571,3,3293
572,,
573,2,1559
574,3,3288
575,,
576,2,4659
577,3,74
578,6,535
579,,
580,4,4459
581,3,1567
582,4,4189
583,5,2955
584,4,324
585,4,1060
586,3,4889
587,3,3717
588,4,3796
589,3,696
590,2,1085
591,3,4523
592,,
593,5,2544
594,2,4666
595,3,3959
596,5,3530
597,2,3246
598,3,1572
599,3,934
600,3,1880
601,4,3863
602,,
603,3,4177
604,4,1841
605,4,416
606,3,4598
607,3,728
608,2,3246
609,2,1946
610,6,2653
611,4,1991
612,3,2362
613,2,2551
614,,
615,4,399
616,3,4858
617,4,1037
618,4,3796
619,3,725
620,,
621,,
622,3,4465
623,3,294
624,,
625,2,1560
626,3,1107
627,4,272
628,4,4947
629,3,3414
630,2,2747
631,3,1572
632,4,729
633,4,4113
634,4,4792
635,3,4071
636,,
637,3,2915
638,2,4659
639,3,1880
640,,
641,4,870
642,3,648
643,2,1946
644,2,4666
645,3,4363
646,3,696
647,3,2664
648,2,1946
649,3,1186
650,2,463
651,3,3859
652,3,4296
653,2,3246
654,2,1560
655,2,1092
656,4,2141
657,4,544
658,3,3245
659,,
660,4,3185
661,3,590
662,3,2640
663,3,3720
664,4,177
665,3,3293
666,3,2303
667,3,802
668,3,4296
669,4,1813
670,2,4029
671,3,491
672,3,4465
673,6,3732
674,4,1823
675,4,4568
676,5,3953
677,4,431
678,4,4720
679,5,4073
680,4,589
681,4,1337
682,4,217
683,4,2568
684,3,3666
685,2,2724
686,,
687,4,2440
688,3,4222
689,4,2015
690,3,4065
691,3,1317
692,3,1200
693,3,4811
694,3,294
695,4,2028
696,2,4666
697,3,491
698,3,4296
699,2,4029
700,3,4910
701,3,3823
702,5,75
703,5,410
704,,
705,3,503
706,3,2136
707,4,4700
708,,
709,,
710,,
711,4,2371
712,3,2449
713,3,503
714,5,4374
715,3,3786
716,4,1813
717,5,1947
718,2,4029
719,3,4856
720,2,2747
721,3,3861
722,1,2720
723,4,854
724,4,1268
725,2,4029
726,3,384
727,4,4013
728,2,4029
729,3,4221
730,3,3426
731,2,3613
732,4,1800
733,4,394
734,4,1232
735,2,775
736,,
737,2,1085
738,2,83
739,,
740,,
741,3,1238
742,5,4556
743,3,4093
744,3,1940
745,4,4341
746,4,4200
747,3,294
748,3,2618
749,3,2290
750,3,3560
751,,
752,2,4029
753,3,2618
754,3,460
755,4,3419
756,4,534
757,3,4678
758,3,2664
759,3,3334
760,3,3896
761,4,4036
762,2,4666
763,3,1572
764,3,4438
765,3,752
766,6,2394
767,,
768,3,4626
769,3,267
770,3,50
771,,
772,3,720
773,3,4438
774,3,2397
775,1,2720
776,3,3177
777,4,1787
778,2,1890
779,3,798
780,4,1787
781,4,1864
782,4,1538
783,4,1636
784,3,3950
785,4,3079
786,3,4340
787,4,1916
788,4,2880
789,4,2007
790,3,699
791,3,1200
792,3,4340
793,3,3918
794,4,2440
795,3,3450
796,3,4296
797,3,934
798,2,1946
799,3,4093
800,4,2440
801,1,2720
802,2,509
803,3,267
804,5,1079
805,2,4029
806,2,2724
807,4,726
808,4,3013
809,,
810,3,725
811,4,3419
812,3,2136
813,3,625
814,2,1518
815,4,2015
816,2,4029
817,2,509
818,5,1141
819,3,4296
820,4,179
821,4,2798
822,4,3612
823,4,1991
824,,
825,4,4102
826,4,324
827,4,2147
828,,
829,7,981
830,4,2440
831,4,1866
832,,
833,4,2028
834,,
835,4,1813
836,4,2798
837,,
838,3,3840
839,3,4296
840,4,3796
841,3,4344
842,4,2509
843,4,1577
844,3,1200
845,3,1838
846,4,1469
847,3,1940
848,3,566
849,,
850,2,2388
851,4,796
852,3,4955
853,3,4811
854,3,3477
855,3,590
856,4,1587
857,2,4029
858,3,1940
859,3,1806
860,3,1148
861,5,4552
862,4,16
863,5,4451
864,4,1152
865,3,4177
866,3,2915
867,2,1559
868,2,2551
869,3,573
870,3,4199
871,,
872,2,4691
873,5,807
874,,
875,6,4206
876,4,2028
877,5,4848
878,4,2173
879,4,2440
880,,
881,3,4651
882,2,1138
883,2,1138
884,4,1152
885,4,4113
886,5,3939
887,2,4666
888,2,3536
889,3,3414
890,3,2449
891,1,2720
892,3,4807
893,2,1332
894,4,4561
895,4,4292
896,3,1806
897,3,3560
898,3,1773
899,,
900,3,503
901,3,1100
902,3,3314
903,,
904,3,3655
905,3,798
906,,
907,2,1946
908,3,1317
909,3,590
910,4,2853
911,2,2551
912,,
913,4,2321
914,3,3677
915,3,473
916,4,4189
917,5,530
918,,
919,3,802
920,3,3353
921,,
922,5,734
923,2,4666
924,3,907
925,5,3746
926,,
927,3,4811
928,4,1709
929,4,4181
930,5,3379
931,,
932,3,1565
933,,
934,2,4666
935,4,1295
936,3,294
937,3,564
938,,
939,4,4947
940,5,664
941,,
942,3,3498
943,3,4811
944,3,3437
945,,
946,3,4465
947,3,737
948,3,737
949,4,2729
950,3,3426
951,3,4872
952,,
953,,
954,4,2533
955,3,3061
956,5,1079
957,4,4947
958,,
959,4,4181
960,4,3996
961,4,277
962,2,775
963,5,2726
964,3,4296
965,3,4634
966,3,3973
967,3,4625
968,4,4568
969,2,891
970,,
971,2,2724
972,3,3293
973,3,503
974,2,1946
975,4,1864
976,3,1715
977,5,3746
978,5,1079
979,5,87
980,4,2125
981,6,2238
982,4,705
983,3,2346
984,4,4101
985,,
986,,
987,8,4416
988,3,2449
989,3,3677
990,3,294
991,,
992,4,3452
993,2,4666
994,4,3201
995,4,3328
996,3,2994
997,2,2724
998,3,3527
999,3,2670
1000,2,3536
1001,2,4659
1002,4,3382
1003,3,402
1004,3,4523
1005,2,4029
1006,3,2796
1007,,
1008,3,239
1009,4,4888
1010,4,3200
1011,5,2690
1012,,
1013,4,4700
1014,3,4811
1015,4,2147
1016,3,2436
1017,,
1018,4,4459
1019,4,2405
1020,4,4052
1021,4,4770
1022,4,854
1023,4,2440
1024,3,3959
1025,4,1876
1026,4,3796
1027,4,349
1028,4,389
1029,3,3426
1030,3,3293
1031,,
1032,4,3023
1033,,
1034,,
1035,2,4666
1036,4,2181
1037,3,2290
1038,2,4029
1039,3,1753
1040,,
1041,,
1042,4,4532
1043,3,1753
1044,4,854
1045,4,534
1046,3,4065
1047,3,3344
1048,2,509
1049,3,4811
1050,5,808
1051,3,2136
1052,4,3146
1053,5,1582
1054,4,3079
1055,4,797
1056,3,3552
1057,5,4929
1058,4,554
1059,3,4811
1060,3,699
1061,3,590
1062,3,1760
1063,4,2401
1064,3,1100
1065,3,3891
1066,3,2031
1067,3,2026
1068,4,1037
1069,3,4011
1070,4,2125
1071,4,2125
1072,3,3296
1073,5,1239
1074,4,2395
1075,,
1076,3,2414
1077,3,4811
1078,2,1946
1079,4,1819
1080,,
1081,3,53
1082,3,4065
1083,4,1293
1084,2,722
1085,1,2720
1086,3,1753
1087,4,589
1088,2,4029
1089,3,3293
1090,,
1091,4,589
1092,1,2720
1093,,
1094,5,1079
1095,3,2390
1096,3,3950
1097,2,2388
1098,3,4678
1099,4,378
1100,2,3246
1101,8,4416
1102,4,797
1103,3,4251
1104,6,1988
1105,6,4841
